FID IID descID ance pop sex age group
HG00105 HG00105 HG00105 EUR GBR 1 NA NA
HG00107 HG00107 HG00107 EUR GBR 1 NA 0
HG00115 HG00115 HG00115 EUR GBR 1 NA 0
HG00132 HG00132 HG00132 EUR GBR 2 NA 0
HG00145 HG00145 HG00145 EUR GBR 1 NA 0
HG00157 HG00157 HG00157 EUR GBR 1 NA 0
HG00181 HG00181 HG00181 EUR FIN 1 NA 0
HG00308 HG00308 HG00308 EUR FIN 1 NA 0
HG00379 HG00379 HG00379 EUR FIN 2 NA 0
HG01500 HG01500 HG01500 EUR IBS 1 NA 0
HG01501 HG01501 HG01501 EUR IBS 2 NA 0
HG01503 HG01503 HG01503 EUR IBS 1 NA 0
HG01504 HG01504 HG01504 EUR IBS 2 NA 0
HG01506 HG01506 HG01506 EUR IBS 1 NA 0
HG01507 HG01507 HG01507 EUR IBS 2 NA 0
HG01509 HG01509 HG01509 EUR IBS 1 NA 0
HG01510 HG01510 HG01510 EUR IBS 2 NA 0
HG01512 HG01512 HG01512 EUR IBS 1 NA 0
HG01513 HG01513 HG01513 EUR IBS 2 NA 0
HG01524 HG01524 HG01524 EUR IBS 1 NA 0
HG01525 HG01525 HG01525 EUR IBS 2 NA 0
HG01527 HG01527 HG01527 EUR IBS 1 NA 0
HG01528 HG01528 HG01528 EUR IBS 2 NA 0
HG01530 HG01530 HG01530 EUR IBS 1 NA 0
HG01531 HG01531 HG01531 EUR IBS 2 NA 0
HG01536 HG01536 HG01536 EUR IBS 1 NA 0
HG01537 HG01537 HG01537 EUR IBS 2 NA 0
HG01602 HG01602 HG01602 EUR IBS 2 NA 0
HG01603 HG01603 HG01603 EUR IBS 1 NA 0
HG01605 HG01605 HG01605 EUR IBS 2 NA 0
HG01606 HG01606 HG01606 EUR IBS 1 NA 0
HG01607 HG01607 HG01607 EUR IBS 2 NA 0
HG01608 HG01608 HG01608 EUR IBS 1 NA 0
HG01610 HG01610 HG01610 EUR IBS 1 NA 0
HG01612 HG01612 HG01612 EUR IBS 2 NA 0
HG01613 HG01613 HG01613 EUR IBS 2 NA 0
HG01615 HG01615 HG01615 EUR IBS 1 NA 0
HG01628 HG01628 HG01628 EUR IBS 2 NA 0
HG01630 HG01630 HG01630 EUR IBS 1 NA 0
HG01631 HG01631 HG01631 EUR IBS 1 NA 0
HG01632 HG01632 HG01632 EUR IBS 2 NA 0
HG01668 HG01668 HG01668 EUR IBS 2 NA 0
HG01669 HG01669 HG01669 EUR IBS 1 NA 0
HG01670 HG01670 HG01670 EUR IBS 2 NA 0
HG01672 HG01672 HG01672 EUR IBS 1 NA 0
HG01673 HG01673 HG01673 EUR IBS 2 NA 0
HG01675 HG01675 HG01675 EUR IBS 1 NA 0
HG01676 HG01676 HG01676 EUR IBS 2 NA 0
HG01678 HG01678 HG01678 EUR IBS 1 NA 0
HG01679 HG01679 HG01679 EUR IBS 2 NA 0
HG01680 HG01680 HG01680 EUR IBS 1 NA 0
HG01682 HG01682 HG01682 EUR IBS 1 NA 0
HG01684 HG01684 HG01684 EUR IBS 2 NA 0
HG01685 HG01685 HG01685 EUR IBS 2 NA 0
HG01686 HG01686 HG01686 EUR IBS 1 NA 0
